Invoice No. 026/15 - Essentials Case Goods  Line - B/L No.ITJ7019677,,
Container No. TCLU 595703-5,,
VSL - MCS BARBARA,,
ETA Lexington 10/23/2015,,
,,
,,
,,
Item No.,Description,Quantity
4151,Five Drawer Chest - Natural Finish,40
4152,Five Drawer Chest - Cappuccino Finish,40
4153,Five Drawer Chest - White Finish,40
4141,Three Drawer  Dresser - Natural Finish,40
4142,Three Drawer  Dresser - Cappuccino Finish,40
4143,Three Drawer  Dresser - White Finish,40
4171,"Essentials Wooden Bookcase 23"" Wide - Natural Finish - Box 1 of 1",40
4172,"Essentials Wooden Bookcase 23"" Wide - Cappuccino Finish - Box 1 of 1",40
4173,"Essentials Wooden Bookcase 23"" Wide - White Finish - Box 1 of 1",40
4181,"Essentials Wooden Bookcase 36"" Wide - Natural Finish - Box 1 of 1",40
4182,"Essentials Wooden Bookcase 36"" Wide - Cappuccino Finish - Box 1 of 1",40
4183,"Essentials Wooden Bookcase 36"" Wide - White Finish - Box 1 of 1",40
4191,"Essentials Wooden Bookcase 51"" Wide - Natural Finish - Box 1 of 1",40
4192,"Essentials Wooden Bookcase 51"" Wide - Cappuccino Finish - Box 1 of 1",40
4193,"Essentials Wooden Bookcase 51"" Wide - White Finish - Box 1 of 1",45
41101,"Essentials Wooden Bookcase 48"" High - Natural Finish - Box 1 of 1",45
41102,"Essentials Wooden Bookcase 48"" High - Cappuccino Finish - Box 1 of 1",45
41103,"Essentials Wooden Bookcase 48"" High - White Finish - Box 1 of 1",45
41111,Essentials Dresser Mirror - Natural Finish - Box 1 of 1,25
41112,Essentials Dresser Mirror - Cappuccino Finish - Box 1 of 1,25
41113,Essentials Dresser Mirror - White Finish - Box 1 of 1,25
,,
4143,Essentials Three Drawer Wide Dresser - White Finish,9
,,
????,Various Spare Parts ,235
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Replacement Parts,,
,,
4151-T,Top for Five Drawer Chest - Natural Finish,7
4152-T,Top for Five Drawer Chest - Cappuccino Finish,7
4153-T,Top for Five Drawer Chest - White Finish,5
,,
4131-T,Top for Three Drawer  Narrow Chest - Natural Finish,7
4132-T,Top For Three Drawer  Narrow Chest - Cappuccino Finish,7
4133-T,Top for Three Drawer  Narrow Chest - White Finish,5
,,
4141-T,Top for Three Drawer  Dresser - Natural Finish,7
4142-T,Top for Three Drawer  Dresser - Cappuccino Finish,7
4143-T,Top for Three Drawer  Dresser - White Finish,5
,,
4161-T,Top for 6 Drawer  Double Dresser - Natural Finish,7
4162-T,Top for 6 Drawer  Double Dresser - Cappuccino Finish,7
4163-T,Top for 6 Drawer  Double Dresser - White Finish,5
,,
4151-SR,Side Right  for Five Drawer Chest - Natural Finish,5
4152-SR,Side Right for Five Drawer Chest - Cappuccino Finish,5
4153-SR,Side Right for Five Drawer Chest - White Finish,5
,,
4151-SL,Side Left  for Five Drawer Chest - Natural Finish,5
4152-SL,Side Left for Five Drawer Chest - Cappuccino Finish,5
4153-SL,Side Left for Five Drawer Chest - White Finish,5
,,
4131-SR,Side Right for Three Drawer  Narrow Chest - Natural Finish,5
4132-SR,Side Right for Three Drawer  Narrow Chest - Cappuccino Finish,5
4133-SR,Side Right for Three Drawer  Narrow Chest - White Finish,5
,,
4131-SL,Side Left for Three Drawer  Narrow Chest - Natural Finish,5
4132-SL,Side Left for Three Drawer  Narrow Chest - Cappuccino Finish,5
4133-SL,Side Left for Three Drawer  Narrow Chest - White Finish,5
,,
4151-DF,Drawer Front  for Five Drawer Chest - Natural Finish,8
4152-DF,Drawer Front for Five Drawer Chest - Cappuccino Finish,8
4153-DF,Drawer Front for Five Drawer Chest - White Finish,8
,,
4131-DF,Drawer Front for Three Drawer  Narrow Chest - Natural Finish,8
4132-DF,Drawer Front for Three Drawer  Narrow Chest - Cappuccino Finish,8
4133-DF,Drawer Front  for Three Drawer  Narrow Chest - White Finish,8
,,
4141-DF,Drawer Front for Three Drawer  Dresser - Natural Finish,8
4142-DF,Drawer Front for Three Drawer  Dresser - Cappuccino Finish,8
4143-DF,Drawer Front  for Three Drawer  Dresser - White Finish,8
,,
