Item Type,Product ID,Product Name,Product Type,Product Code/SKU,Bin Picking Number,Brand Name,Option Set,Option Set Align,Product Description,Price,Cost Price,Retail Price,Sale Price,Fixed Shipping Cost,Free Shipping,Product Warranty,Product Weight,Product Width,Product Height,Product Depth,Allow Purchases?,Product Visible?,Product Availability,Track Inventory,Current Stock Level,Low Stock Level,Category,Product Image ID - 1,Product Image File - 1,Product Image Description - 1,Product Image Is Thumbnail - 1,Product Image Sort - 1,Product Image ID - 2,Product Image File - 2,Product Image Description - 2,Product Image Is Thumbnail - 2,Product Image Sort - 2,Product Image ID - 3,Product Image File - 3,Product Image Description - 3,Product Image Is Thumbnail - 3,Product Image Sort - 3,Product Image ID - 4,Product Image File - 4,Product Image Description - 4,Product Image Is Thumbnail - 4,Product Image Sort - 4,Product Image ID - 5,Product Image File - 5,Product Image Description - 5,Product Image Is Thumbnail - 5,Product Image Sort - 5,Product Image ID - 6,Product Image File - 6,Product Image Description - 6,Product Image Is Thumbnail - 6,Product Image Sort - 6,Search Keywords,Page Title,Meta Keywords,Meta Description,MYOB Asset Acct,MYOB Income Acct,MYOB Expense Acct,Product Condition,Show Product Condition?,Event Date Required?,Event Date Name,Event Date Is Limited?,Event Date Start Date,Event Date End Date,Sort Order,Product Tax Class,Product UPC/EAN,Stop Processing Rules,Product URL,Redirect Old URL?,GPS Global Trade Item Number,GPS Manufacturer Part Number,GPS Gender,GPS Age Group,GPS Color,GPS Size,GPS Material,GPS Pattern,GPS Item Group ID,GPS Category,GPS Enabled,Avalara Product Tax Code,Product Custom Fields
Product,32,"[Sample] Tomorrow is today, Red printed scarf",P,TTRPS,,,,Right,"<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>",89,0,0,0,10,N,,0.3,6,6,2,Y,Y,,none,0,0,Accessories,248,%%SAMPLE%%/in_122__93910.jpg,,N,1,247,%%SAMPLE%%/in_123__14581.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,Delivery Date,N,0,0,0,Default Tax Class,,N,/sample-tomorrow-is-today-red-printed-scarf/,,,,,,,,,,,,N,,
Product,33,"[Sample] Anna, multi-colored bangles",P,AMCB,,,Colors only,Right,"<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>",59,0,0,0,0,N,,0.5,4,8,4,Y,Y,,none,0,0,Accessories,239,%%SAMPLE%%/cocolee_anna_92851__19446.jpg,,N,0,240,%%SAMPLE%%/cocolee_anna_92852__63752.jpg,,N,1,241,%%SAMPLE%%/cocolee_anna_92853__67951.jpg,,N,2,243,%%SAMPLE%%/cocolee_anna_92854__10682.jpg,,N,3,244,%%SAMPLE%%/cocolee_anna_92855__77555.jpg,,N,4,245,%%SAMPLE%%/HERO_cocolee_anna_92865__20303.jpg,,Y,5,,,,,,,,New,N,N,Delivery Date,N,0,0,0,Default Tax Class,,N,/sample-anna-multi-colored-bangles/,,,,,,,,,,,,N,,
  SKU,29,[CS]Color=Silver:#cccccc,,AMCB-SILVER-B5D5C640,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SKU,30,[CS]Color=Black:#000000,,AMCB-BLACK-C8DD6065,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SKU,31,[CS]Color=Blue:#123c91,,AMCB-BLUE-3D00AD1B,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SKU,32,[CS]Color=Orange:#e35e20,,AMCB-ORANGE-D466D48C,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,34,"[Sample] Harper, tan leather woven belt",P,HTLWB,,,,Right,"<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>",49,0,0,0,0,N,,0.4,8,6,2,Y,Y,,none,0,0,Accessories,251,%%SAMPLE%%/GF_sportG_91892__79067.jpg,,N,1,250,%%SAMPLE%%/HERO_GF_sportG_91894__07966.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,Delivery Date,N,0,0,0,Default Tax Class,,N,/sample-harper-tan-leather-woven-belt/,,,,,,,,,,,,N,,
Product,35,"[Sample] Anna, bright single bangles",P,ABSB,,,Colors only,Right,"<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>",29,0,0,0,0,N,,0.3,4,4,2,Y,Y,,none,0,0,Accessories,139,%%SAMPLE%%/ni-colette-018__73060.jpg,,N,1,138,%%SAMPLE%%/ni-colette-019__39118.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,Delivery Date,N,0,0,0,Default Tax Class,,N,/sample-anna-bright-single-bangles/,,,,,,,,,,,,N,,
  SKU,25,[CS]Color=Silver:#cccccc,,ABSB-SILVER-5C99094E,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SKU,26,[CS]Color=Black:#000000,,ABSB-BLACK-090079C5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
